Nom;Référence;Famille;Date semis;Prix unitaire (hors remise);Lien;Référence+lien
Lin Bleu (engrais vert);E0120S;Engrais verts;avril-juin;4.5;https://www.semaille.com/fr/engrais-verts/13-lin-bleu-engrais-vert-5415166001436.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Sainfoin (engrais vert);E0130S;Engrais verts;juillet - septembre;4.5;https://www.semaille.com/fr/engrais-verts/14-sainfoin-engrais-vert-5415166013255.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Fénugrec (engrais vert);E0135S;Engrais verts;;;;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Lotier corniculé (engrais vert);E0136S;Engrais verts;août - septembre;4.5;https://www.semaille.com/fr/engrais-verts/16-lotier-cornicule-engrais-vert-5415166013262.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Sorgho du Soudan;E0138S;Engrais verts;avril-août;4.5;https://www.semaille.com/fr/engrais-verts/1383-sorgho-du-soudan-5415166025388.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Mélange Croissance rapide (engrais vert);E0150S;Engrais verts;mars - octobre;4.5;https://www.semaille.com/fr/engrais-verts/18-melange-croissance-rapide-engrais-vert-5415166001450.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Mélange Spécial sol lourd (engrais vert);E0151S;Engrais verts;avril-septembre;4.5;https://www.semaille.com/fr/engrais-verts/19-melange-special-sol-lourd-engrais-vert-5415166001474.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Mélange Spécial Hiver (engrais vert);E0152S;Engrais verts;août - septembre;4.5;https://www.semaille.com/fr/engrais-verts/20-melange-special-hiver-engrais-vert-5415166001498.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Mélange mellifère et engrais vert;E0200S;Engrais verts;avril-août;4.5;https://www.semaille.com/fr/engrais-verts/21-melange-mellifere-et-engrais-vert-5415166001511.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Mélange Prairie fleurie;E0220S;Fleurs;mars - avril et septembre-octobre;3;https://www.semaille.com/fr/melange-de-fleurs/22-melange-prairie-fleurie-5415166001535.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Mélange fleurs sauvages sec et ensoleillé;E0230S;Fleurs;;;;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Amaranthe Queue de renard rouge;F0010S;Fleurs;mars - juin;3;https://www.semaille.com/fr/fleurs-especes-annuelles/28-amaranthe-queue-de-renard-rouge-5415166001580.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Amaranthe Golden;F0011S;Potagères;mars - juin;3;https://www.semaille.com/fr/amaranthe/312-amaranthe-golden-5415166001603.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Amaranthe Queue de renard blanche;F0012S;Fleurs;mars - juin;3;https://www.semaille.com/fr/fleurs-especes-annuelles/29-amaranthe-queue-de-renard-blanche-5415166001634.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Balsamine;F0030S;Fleurs;;3;;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Bleuet bleu;F0040S;Fleurs;avril-mai ou  août-septembre;3;https://www.semaille.com/fr/fleurs-especes-annuelles/31-bleuet-bleu-5415166001672.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Bleuet en mélange;F0041S;Fleurs;avril-mai ou  août-septembre;3;https://www.semaille.com/fr/fleurs-especes-annuelles/32-bleuet-en-melange-5415166001696.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Capucine  rampante;F0050S;Fleurs;avril-juillet;3;https://www.semaille.com/fr/fleurs-especes-annuelles/33-capucine-rampante-5415166001719.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Capucine naine en mélange;F0051S;Fleurs;avril-juillet;3;https://www.semaille.com/fr/fleurs-especes-annuelles/34-capucine-naine-en-melange-5415166001733.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Capucine Naine Panachée;F0052S;Fleurs;avril-juillet;3;https://www.semaille.com/fr/fleurs-especes-annuelles/35-capucine-naine-panachee-5415166001757.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Carthame;F0055S;Fleurs;mai - juin;3;https://www.semaille.com/fr/fleurs-especes-annuelles/36-carthame-5415166001771.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Chardon Marie;F0056S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/37-chardon-marie-5415166001795.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Cléome rose;F0060S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/38-cleome-rose-5415166013309.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Chrysanthème à carènes;F0062S;Fleurs;;3;;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Chrysanthème des moissons;F0065S;Fleurs;mars - juin;3;https://www.semaille.com/fr/fleurs-especes-annuelles/40-chrysantheme-des-moissons-5415166001832.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Coquelicot des jardins;F0067S;Fleurs;mars - avril et septembre-octobre;3;https://www.semaille.com/fr/fleurs-especes-annuelles/41-coquelicot-des-jardins-5415166001856.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Coquelicot des champs;F0068S;Fleurs;mars - avril et septembre-octobre;3;https://www.semaille.com/fr/fleurs-especes-annuelles/42-coquelicot-des-champs-5415166001870.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Coréopsis Sea Shells mix;F0071S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/1085-coreopsis-sea-shells-mix-5415166015822.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Cosmos Sensation en mélange;F0080S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/43-cosmos-sensation-en-melange-5415166001894.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Cosmos Sensation Picotée;F0082S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/44-cosmos-sensation-picotee-5415166001917.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Cosmos Late sensation Yellow;F0083S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/1051-cosmos-late-sensation-yellow-5415166015860.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Cosmos Red Junny;F0084S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/1459-cosmos-red-junny-5415166026330.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Cosmos Orange;F0085S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/45-cosmos-orange-5415166001931.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Dolichos Lablab;F0087S;Fleurs;avril-juin;3;https://www.semaille.com/fr/fleurs-especes-annuelles/1300-dolichos-lablab-5415166015884.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Dracocéphale de Moldavie;F0090S;Fleurs;mars - juin;3;https://www.semaille.com/fr/fleurs/46-dracocephale-de-moldavie-5415166001955.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Haricot d'Espagne;F0115S;Fleurs;avril-mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/47-haricot-d-espagne-5415166001979.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Immortelle à bractées;F0130S;Fleurs;mars - juin;3;https://www.semaille.com/fr/fleurs-especes-annuelles/48-immortelle-a-bractees-5415166001993.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Ipomée en mélange;F0140S;Fleurs;mars - juin;3;https://www.semaille.com/fr/fleurs-especes-annuelles/49-ipomee-en-melange-5415166002013.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Lavatère grandes fleurs;F0150S;Fleurs;mars - juin;3;https://www.semaille.com/fr/fleurs-especes-annuelles/50-lavatere-grandes-fleurs-5415166002037.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Limnanthes;F0155S;Fleurs;mars - avril et août - septembre;3;https://www.semaille.com/fr/fleurs-especes-annuelles/51-limnanthes-5415166002051.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Lin annuel bleu;F0160S;Fleurs;avril-mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/52-lin-annuel-bleu-5415166002075.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Malope;F0190S;Fleurs;;3;;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Mirabilis;F0200S;Fleurs;avril-juin;3;https://www.semaille.com/fr/fleurs-especes-annuelles/54-mirabilis-5415166002112.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Muflier;F0210S;Fleurs;mars - avril;3;https://www.semaille.com/fr/fleurs-especes-annuelles/55-muflier-5415166002136.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Nicandra;F0215S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/56-nicandra-5415166002150.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Nielle des blés;F0220S;Fleurs;avril-mai ou  août-septembre;3;https://www.semaille.com/fr/fleurs-especes-annuelles/57-nielle-des-bles-5415166002174.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Nigelle de Damas;F0230S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/58-nigelle-de-damas-5415166002198.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Pavot rose simple;F0240S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/59-pavot-rose-simple-5415166002211.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Pavot rose double;F0241S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/1173-pavot-rose-double-5415166002235.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Pavot violet simple;F0242S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/1384-pavot-violet-simple-5415166025463.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Pavot Planète rouge du Jura;F0243S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/60-pavot-planete-rouge-du-jura-5415166013316.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Pavot Rouge;F0244S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/1424-pavot-rouge-double-5415166025715.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Pavot Black Peony;F0245S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/1473-pavot-black-peony-5415166026408.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
Pavot de Californie;F0250S;Fleurs;mars - mai;3;https://www.semaille.com/fr/fleurs-especes-annuelles/61-pavot-de-californie-5415166002259.html;=HYPERLINK(INDIRECT("F2:F"),INDIRECT("B2:B"))
